,noteId,HELPFUL,NOT_HELPFUL,SOMEWHAT_HELPFUL,helpfulness_ratio
0,1590383471653814272,162.0,76.0,26.0,0.680672268907563
1,1590462689582747649,12.0,3.0,2.0,0.8
2,1653604072425938946,1277.0,80.0,33.0,0.9410464259395726
3,1830418988544709051,87.0,275.0,4.0,0.2403314917127071
4,1794092381408550998,83.0,72.0,4.0,0.535483870967742
5,1828084037556093266,1729.0,214.0,34.0,0.889861039629439
6,1823888143130472623,19.0,15.0,0.0,0.5588235294117647
7,1593631937154916353,83.0,41.0,19.0,0.6693548387096774
8,1844890907612749920,168.0,74.0,6.0,0.6942148760330579
9,1867354845146927302,656.0,137.0,10.0,0.8272383354350568
10,1892425238861812140,24.0,507.0,11.0,0.0451977401129943
11,1823876079951696025,12.0,2.0,1.0,0.8571428571428571
12,1532471599923879951,10.0,31.0,6.0,0.2439024390243902
13,1539326947683184640,65.0,29.0,6.0,0.6914893617021277
14,1541250805654851585,34.0,1.0,2.0,0.9714285714285714
15,1590815481040085002,34.0,20.0,2.0,0.6296296296296297
16,1591510102309474304,10.0,4.0,4.0,0.7142857142857143
17,1591584259998883840,26.0,0.0,0.0,1.0
18,1596949351544258567,16.0,8.0,1.0,0.6666666666666666
19,1597054216190713856,17.0,6.0,0.0,0.7391304347826086
20,1597974526599602181,70.0,0.0,0.0,1.0
21,1609983330598150145,17.0,2.0,1.0,0.8947368421052632
22,1619257791855607810,29.0,11.0,4.0,0.725
23,1691125689427153094,176.0,6.0,10.0,0.967032967032967
24,1749468530523709645,93.0,13.0,2.0,0.8773584905660378
25,1752751889341677726,175.0,12.0,4.0,0.9358288770053476
26,1640575016214618114,102.0,30.0,8.0,0.7727272727272727
27,1655898763972558848,169.0,41.0,3.0,0.8047619047619048
28,1868998843766882720,37.0,6.0,1.0,0.8604651162790697
29,1800086213631901980,56.0,17.0,6.0,0.7671232876712328
30,1694822295972307402,442.0,423.0,62.0,0.5109826589595375
31,1484315607373803525,111.0,8.0,4.0,0.9327731092436976
32,1622975264606273538,16.0,141.0,3.0,0.1019108280254777
33,1833501986102169889,144.0,33.0,4.0,0.8135593220338984
34,1847782339998601665,85.0,172.0,7.0,0.3307392996108949
35,1736469711406178389,594.0,28.0,7.0,0.954983922829582
36,1890589809367728336,918.0,683.0,19.0,0.5733916302311055
37,1782891257770996093,11.0,7.0,1.0,0.6111111111111112
38,1791031436075479092,116.0,26.0,15.0,0.8169014084507042
39,1795215902398353702,33.0,40.0,2.0,0.4520547945205479
40,1815214378339418503,245.0,286.0,17.0,0.4613935969868173
41,1848271410306613301,556.0,877.0,15.0,0.3879972086531751
42,1795887585438388255,5.0,16.0,2.0,0.238095238095238
43,1816926668717703180,184.0,68.0,5.0,0.7301587301587301
44,1664291375834071040,19.0,1.0,1.0,0.95
45,1720560452718199078,303.0,234.0,6.0,0.5642458100558659
46,1797062296524431616,55.0,179.0,14.0,0.235042735042735
47,1802548974731346158,168.0,21.0,1.0,0.8888888888888888
48,1790644450194047184,107.0,4.0,5.0,0.963963963963964
49,1770103964731875572,126.0,21.0,9.0,0.8571428571428571
50,1801331602607280441,192.0,59.0,6.0,0.7649402390438247
51,1751743429694906502,19.0,33.0,2.0,0.3653846153846153
52,1713550437125587296,174.0,9.0,6.0,0.9508196721311476
53,1639432476060942336,25.0,58.0,5.0,0.3012048192771084
54,1560847894487281665,193.0,11.0,14.0,0.946078431372549
55,1887803226898280800,152.0,7.0,2.0,0.9559748427672956
56,1637204817864183808,138.0,40.0,34.0,0.7752808988764045
57,1654809878173569024,286.0,77.0,17.0,0.7878787878787878
