,tweetId,tweetUrl,tweetCreatedAt,noteId,noteUser,noteCreatedAt,uniqueID,tweetMediaFiles,class,falsified
0,1.82396787867431e+18,https://x.com/i/web/status/1823967878674309393,2024-08-15 06:20:04+00:00,1824170036556443931,7C242D14E13583842A6737C5BBFD378B637F746BA0A9BF9AAD8DB4B54DD1F9A9,2024-08-15 19:43:22.813000+00:00,mi4213,media_miscaptioned_class/photo_4213_0.jpg,miscaptioned,1
1,1.66293254047319e+18,https://x.com/i/web/status/1662932540473188352,2023-05-28 21:23:08+00:00,1663173699111903235,FCDE69DEA94177913D54762353F67A5C6075A5326AFA2E69816095E0AED81429,2023-05-29 13:21:24.798000+00:00,mi2388,"media_miscaptioned_class/photo_2388_0.jpg, media_miscaptioned_class/photo_2388_1.jpg, media_miscaptioned_class/photo_2388_2.jpg",miscaptioned,1
2,1.7159935382642e+18,https://x.com/i/web/status/1715993538264199401,2023-10-22 07:28:35+00:00,1716155163184972140,D59C7B5C919D6977D01DE057FE6B51F67CF692BA235799F4020CD2F94440EB2F,2023-10-22 18:10:50.182000+00:00,mi5202,media_miscaptioned_class/photo_5202_0.jpg,miscaptioned,1
3,1.88318551884395e+18,https://x.com/i/web/status/1883185518843944967,2025-01-25 16:09:50+00:00,1883326741672001866,1378F83326FCD4332BE9571F3C66781411CF88F416551A12100B45F6FB955B92,2025-01-26 01:31:00.391000+00:00,mi4762,media_miscaptioned_class/photo_4762_0.jpg,miscaptioned,1
4,1.83399406891899e+18,https://x.com/i/web/status/1833994068918989074,2024-09-11 22:20:34+00:00,1834274791932735730,1DB02E32BC4ACA472BE148248CA5C0944CB4172EDEB2AE6C9F5BAAD4797C8D52,2024-09-12 16:56:04.232000+00:00,mi3044,media_miscaptioned_class/photo_3044_0.jpg,miscaptioned,1
5,1.5270333690741e+18,https://x.com/i/web/status/1527033369074102272,2022-05-18 21:08:20+00:00,1527034112950734849,585C7C4060B98B529A2E7E000FEE260562B24D2B45339A0FF74CE62A9DDA8516,2022-05-18 21:11:18.107000+00:00,fa2442,media_factually_correct_class/photo_2442_0.jpg,factually_correct,0
6,1.87720178668925e+18,https://x.com/i/web/status/1877201786689245681,2025-01-09 03:52:37+00:00,1877565427733127643,1373DA3A892BF971C568CAC8FA7D02016C3FFE003365EE0AF590FB76662AC03D,2025-01-10 03:57:36.108000+00:00,fa4329,media_factually_correct_class/photo_4329_0.jpg,factually_correct,0
7,1.83528171017652e+18,https://x.com/i/web/status/1835281710176518384,2024-09-15 11:37:12+00:00,1835603452518355146,D7390229143DAEB5968549AD80D318016D130653F887167F963AFF7915DFFCEF,2024-09-16 08:55:41.601000+00:00,fa0978,media_factually_correct_class/photo_978_0.jpg,factually_correct,0
8,1.88840142803453e+18,https://x.com/i/web/status/1888401428034531783,2025-02-09 01:35:59+00:00,1888563313321156838,69C3866C419D589CACE3E9C76870ADC90156215DCB7A6AFA2699B4542FEF1CA8,2025-02-09 12:19:16.363000+00:00,mi3041,"media_miscaptioned_class/photo_3041_0.jpg, media_miscaptioned_class/photo_3041_1.jpg",miscaptioned,1
9,1.66843871459328e+18,https://x.com/i/web/status/1668438714593280005,2023-06-13 02:02:42+00:00,1668465579005493250,0FFA55346FA53B591C5E9C35974F700BF5883CBC590B271397B76195F8E8711F,2023-06-13 03:49:27.285000+00:00,fa3517,"media_factually_correct_class/photo_3517_0.jpg, media_factually_correct_class/photo_3517_1.jpg",factually_correct,0
